saul_sample,param,sample,date,time,tank_side,of_start,no_start,fps,adj_top_of,adj_top_no,adj_right_of,adj_right_no,of_end,no_end,assay,quadrant,intensity_floor,intensity_ceiling,area_floor,area_ceiling,bgsub,num_animals,cab_coords
20191116_1258_80-1_L_B__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191116_1258_80-1_L_B,20191116,1258,L,1611,20975,30,-20,-20,0,0,19611,38975,open_field,q4,0,150,10,5000,False,2,Top
20191116_1309_21-2_R_B__novel_object__q1,no_bg_sub_int_max_180_area_min_100,20191116_1309_21-2_R_B,20191116,1309,R,1385,19925,30,0,0,5,5,19385,37925,novel_object,q1,0,180,100,2000,False,2,Top
20191116_1309_21-2_R_B__novel_object__q2,int_max_140,20191116_1309_21-2_R_B,20191116,1309,R,1385,19925,30,0,0,5,5,19385,37925,novel_object,q2,0,140,100,5000,True,2,Top
20191116_1309_21-2_R_B__novel_object__q3,no_bg_sub,20191116_1309_21-2_R_B,20191116,1309,R,1385,19925,30,0,0,5,5,19385,37925,novel_object,q3,0,170,150,2000,False,2,Bottom
20191116_1309_21-2_R_B__novel_object__q4,int_max_140,20191116_1309_21-2_R_B,20191116,1309,R,1385,19925,30,0,0,5,5,19385,37925,novel_object,q4,0,140,100,5000,True,2,Left
20191116_1309_21-2_R_B__open_field__q1,no_bg_sub_area_min_10,20191116_1309_21-2_R_B,20191116,1309,R,1385,19925,30,0,0,5,5,19385,37925,open_field,q1,0,170,10,5000,False,2,Right
20191116_1309_21-2_R_B__open_field__q2,no_bg_sub_area_min_10,20191116_1309_21-2_R_B,20191116,1309,R,1385,19925,30,0,0,5,5,19385,37925,open_field,q2,0,170,10,5000,False,2,Bottom
20191116_1309_21-2_R_B__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191116_1309_21-2_R_B,20191116,1309,R,1385,19925,30,0,0,5,5,19385,37925,open_field,q3,0,150,10,5000,False,2,Top
20191116_1309_21-2_R_B__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191116_1309_21-2_R_B,20191116,1309,R,1385,19925,30,0,0,5,5,19385,37925,open_field,q4,0,150,10,5000,False,2,Top
20191116_1325_75-1_L_B__novel_object__q1,no_bg_sub_int_max_180_area_min_100,20191116_1325_75-1_L_B,20191116,1325,L,1695,20509,30,-23,-23,9,9,19695,38509,novel_object,q1,0,180,100,2000,False,2,Bottom
20191116_1325_75-1_L_B__novel_object__q2,no_bg_sub,20191116_1325_75-1_L_B,20191116,1325,L,1695,20509,30,-23,-23,9,9,19695,38509,novel_object,q2,0,170,150,2000,False,2,Right
20191116_1325_75-1_L_B__novel_object__q3,no_bg_sub_int_max_180_area_min_100,20191116_1325_75-1_L_B,20191116,1325,L,1695,20509,30,-23,-23,9,9,19695,38509,novel_object,q3,0,180,100,2000,False,2,Left
20191116_1325_75-1_L_B__novel_object__q4,no_bg_sub_int_max_180_area_min_100,20191116_1325_75-1_L_B,20191116,1325,L,1695,20509,30,-23,-23,9,9,19695,38509,novel_object,q4,0,180,100,2000,False,2,Left
20191116_1325_75-1_L_B__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191116_1325_75-1_L_B,20191116,1325,L,1695,20509,30,-23,-23,9,9,19695,38509,open_field,q1,0,150,10,5000,False,2,Bottom
20191116_1325_75-1_L_B__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191116_1325_75-1_L_B,20191116,1325,L,1695,20509,30,-23,-23,9,9,19695,38509,open_field,q2,0,150,10,5000,False,2,Top
20191116_1325_75-1_L_B__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191116_1325_75-1_L_B,20191116,1325,L,1695,20509,30,-23,-23,9,9,19695,38509,open_field,q3,0,150,10,5000,False,2,Right
20191116_1325_75-1_L_B__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191116_1325_75-1_L_B,20191116,1325,L,1695,20509,30,-23,-23,9,9,19695,38509,open_field,q4,0,150,10,5000,False,2,Bottom
20191116_1340_94-1_R_B__novel_object__q1,int_max_160_area_min_25,20191116_1340_94-1_R_B,20191116,1340,R,1636,20722,30,1,1,3,3,19636,38722,novel_object,q1,0,160,25,5000,True,2,Left
20191116_1340_94-1_R_B__novel_object__q2,int_max_140,20191116_1340_94-1_R_B,20191116,1340,R,1636,20722,30,1,1,3,3,19636,38722,novel_object,q2,0,140,100,5000,True,2,Left
20191116_1340_94-1_R_B__novel_object__q3,int_max_140,20191116_1340_94-1_R_B,20191116,1340,R,1636,20722,30,1,1,3,3,19636,38722,novel_object,q3,0,140,100,5000,True,2,Bottom
20191116_1340_94-1_R_B__novel_object__q4,int_max_140,20191116_1340_94-1_R_B,20191116,1340,R,1636,20722,30,1,1,3,3,19636,38722,novel_object,q4,0,140,100,5000,True,2,Top
20191116_1340_94-1_R_B__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191116_1340_94-1_R_B,20191116,1340,R,1636,20722,30,1,1,3,3,19636,38722,open_field,q1,0,150,10,5000,False,2,Right
20191116_1340_94-1_R_B__open_field__q2,no_bg_sub_area_min_10,20191116_1340_94-1_R_B,20191116,1340,R,1636,20722,30,1,1,3,3,19636,38722,open_field,q2,0,170,10,5000,False,2,Right
20191116_1340_94-1_R_B__open_field__q3,no_bg_sub_area_min_10,20191116_1340_94-1_R_B,20191116,1340,R,1636,20722,30,1,1,3,3,19636,38722,open_field,q3,0,170,10,5000,False,2,Top
20191116_1340_94-1_R_B__open_field__q4,no_bg_sub_area_min_10,20191116_1340_94-1_R_B,20191116,1340,R,1636,20722,30,1,1,3,3,19636,38722,open_field,q4,0,170,10,5000,False,2,Top
20191116_1355_33-1_L_B__novel_object__q1,int_max_160_area_min_25,20191116_1355_33-1_L_B,20191116,1355,L,1611,20551,30,-22,-22,6,6,19611,38551,novel_object,q1,0,160,25,5000,True,2,Right
20191116_1355_33-1_L_B__novel_object__q2,int_max_160_area_min_25,20191116_1355_33-1_L_B,20191116,1355,L,1611,20551,30,-22,-22,6,6,19611,38551,novel_object,q2,0,160,25,5000,True,2,Bottom
20191116_1355_33-1_L_B__novel_object__q3,int_max_140,20191116_1355_33-1_L_B,20191116,1355,L,1611,20551,30,-22,-22,6,6,19611,38551,novel_object,q3,0,140,100,5000,True,2,Right
20191116_1355_33-1_L_B__novel_object__q4,int_max_140,20191116_1355_33-1_L_B,20191116,1355,L,1611,20551,30,-22,-22,6,6,19611,38551,novel_object,q4,0,140,100,5000,True,2,Left
20191116_1355_33-1_L_B__open_field__q1,no_bg_sub_area_min_10,20191116_1355_33-1_L_B,20191116,1355,L,1611,20551,30,-22,-22,6,6,19611,38551,open_field,q1,0,170,10,5000,False,2,Left
20191116_1355_33-1_L_B__open_field__q2,no_bg_sub_area_min_10,20191116_1355_33-1_L_B,20191116,1355,L,1611,20551,30,-22,-22,6,6,19611,38551,open_field,q2,0,170,10,5000,False,2,Right
20191116_1355_33-1_L_B__open_field__q3,no_bg_sub,20191116_1355_33-1_L_B,20191116,1355,L,1611,20551,30,-22,-22,6,6,19611,38551,open_field,q3,0,170,100,5000,False,2,Top
20191116_1355_33-1_L_B__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191116_1355_33-1_L_B,20191116,1355,L,1611,20551,30,-22,-22,6,6,19611,38551,open_field,q4,0,150,10,5000,False,2,Right
20191116_1409_59-2_R_B__novel_object__q1,int_max_140,20191116_1409_59-2_R_B,20191116,1409,R,1972,20848,30,0,0,0,0,19972,38848,novel_object,q1,0,140,100,5000,True,2,Right
20191116_1409_59-2_R_B__novel_object__q2,int_max_140,20191116_1409_59-2_R_B,20191116,1409,R,1972,20848,30,0,0,0,0,19972,38848,novel_object,q2,0,140,100,5000,True,2,Left
20191116_1409_59-2_R_B__novel_object__q3,no_bg_sub,20191116_1409_59-2_R_B,20191116,1409,R,1972,20848,30,0,0,0,0,19972,38848,novel_object,q3,0,170,150,2000,False,2,Left
20191116_1409_59-2_R_B__novel_object__q4,int_max_140,20191116_1409_59-2_R_B,20191116,1409,R,1972,20848,30,0,0,0,0,19972,38848,novel_object,q4,0,140,100,5000,True,2,Right
20191116_1409_59-2_R_B__open_field__q1,no_bg_sub_area_min_10,20191116_1409_59-2_R_B,20191116,1409,R,1972,20848,30,0,0,0,0,19972,38848,open_field,q1,0,170,10,5000,False,2,Bottom
20191116_1409_59-2_R_B__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191116_1409_59-2_R_B,20191116,1409,R,1972,20848,30,0,0,0,0,19972,38848,open_field,q2,0,150,10,5000,False,2,Right
20191116_1409_59-2_R_B__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191116_1409_59-2_R_B,20191116,1409,R,1972,20848,30,0,0,0,0,19972,38848,open_field,q3,0,150,10,5000,False,2,Right
20191116_1409_59-2_R_B__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191116_1409_59-2_R_B,20191116,1409,R,1972,20848,30,0,0,0,0,19972,38848,open_field,q4,0,150,10,5000,False,2,Right
20191116_1424_137-4_L_B__novel_object__q1,int_max_160_area_min_25,20191116_1424_137-4_L_B,20191116,1424,L,1653,20678,30,-20,-20,9,9,19653,38678,novel_object,q1,0,160,25,5000,True,2,Bottom
20191116_1424_137-4_L_B__novel_object__q2,int_max_140,20191116_1424_137-4_L_B,20191116,1424,L,1653,20678,30,-20,-20,9,9,19653,38678,novel_object,q2,0,140,100,5000,True,2,Right
20191116_1424_137-4_L_B__novel_object__q3,default,20191116_1424_137-4_L_B,20191116,1424,L,1653,20678,30,-20,-20,9,9,19653,38678,novel_object,q3,0,200,100,5000,True,2,Left
20191116_1424_137-4_L_B__novel_object__q4,no_bg_sub,20191116_1424_137-4_L_B,20191116,1424,L,1653,20678,30,-20,-20,9,9,19653,38678,novel_object,q4,0,170,150,2000,False,2,Top
20191116_1424_137-4_L_B__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191116_1424_137-4_L_B,20191116,1424,L,1653,20678,30,-20,-20,9,9,19653,38678,open_field,q1,0,150,10,5000,False,2,Left
20191116_1424_137-4_L_B__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191116_1424_137-4_L_B,20191116,1424,L,1653,20678,30,-20,-20,9,9,19653,38678,open_field,q2,0,150,10,5000,False,2,Bottom
20191116_1424_137-4_L_B__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191116_1424_137-4_L_B,20191116,1424,L,1653,20678,30,-20,-20,9,9,19653,38678,open_field,q3,0,150,10,5000,False,2,Top
20191116_1424_137-4_L_B__open_field__q4,no_bg_sub_area_min_10,20191116_1424_137-4_L_B,20191116,1424,L,1653,20678,30,-20,-20,9,9,19653,38678,open_field,q4,0,170,10,5000,False,2,Top
20191116_1438_50-2_R_B__novel_object__q1,int_max_160_area_min_25,20191116_1438_50-2_R_B,20191116,1438,R,1888,21058,30,-3,-3,0,0,19888,39058,novel_object,q1,0,160,25,5000,True,2,Top
20191116_1438_50-2_R_B__novel_object__q2,no_bg_sub,20191116_1438_50-2_R_B,20191116,1438,R,1888,21058,30,-3,-3,0,0,19888,39058,novel_object,q2,0,170,150,2000,False,2,Right
20191116_1438_50-2_R_B__novel_object__q3,no_bg_sub,20191116_1438_50-2_R_B,20191116,1438,R,1888,21058,30,-3,-3,0,0,19888,39058,novel_object,q3,0,170,150,2000,False,2,Left
20191116_1438_50-2_R_B__novel_object__q4,no_bg_sub_int_max_180_area_min_100,20191116_1438_50-2_R_B,20191116,1438,R,1888,21058,30,-3,-3,0,0,19888,39058,novel_object,q4,0,180,100,2000,False,2,Top
20191116_1438_50-2_R_B__open_field__q1,no_bg_sub_area_min_10,20191116_1438_50-2_R_B,20191116,1438,R,1888,21058,30,-3,-3,0,0,19888,39058,open_field,q1,0,170,10,5000,False,2,Right
20191116_1438_50-2_R_B__open_field__q2,no_bg_sub_area_min_10,20191116_1438_50-2_R_B,20191116,1438,R,1888,21058,30,-3,-3,0,0,19888,39058,open_field,q2,0,170,10,5000,False,2,Left
20191116_1438_50-2_R_B__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191116_1438_50-2_R_B,20191116,1438,R,1888,21058,30,-3,-3,0,0,19888,39058,open_field,q3,0,150,10,5000,False,2,Left
20191116_1438_50-2_R_B__open_field__q4,no_bg_sub_area_min_10,20191116_1438_50-2_R_B,20191116,1438,R,1888,21058,30,-3,-3,0,0,19888,39058,open_field,q4,0,170,10,5000,False,2,Left
20191116_1452_25-1_L_B__novel_object__q1,no_bg_sub_int_max_180_area_min_100,20191116_1452_25-1_L_B,20191116,1452,L,1950,20594,30,-18,-18,9,9,19950,38594,novel_object,q1,0,180,100,2000,False,2,Bottom
20191116_1452_25-1_L_B__novel_object__q2,int_max_160_area_min_25,20191116_1452_25-1_L_B,20191116,1452,L,1950,20594,30,-18,-18,9,9,19950,38594,novel_object,q2,0,160,25,5000,True,2,Top
20191116_1452_25-1_L_B__novel_object__q3,int_max_160_area_min_25,20191116_1452_25-1_L_B,20191116,1452,L,1950,20594,30,-18,-18,9,9,19950,38594,novel_object,q3,0,160,25,5000,True,2,Bottom
20191116_1452_25-1_L_B__novel_object__q4,int_max_150,20191116_1452_25-1_L_B,20191116,1452,L,1950,20594,30,-18,-18,9,9,19950,38594,novel_object,q4,0,150,100,5000,True,2,Top
20191116_1452_25-1_L_B__open_field__q1,no_bg_sub_area_min_10,20191116_1452_25-1_L_B,20191116,1452,L,1950,20594,30,-18,-18,9,9,19950,38594,open_field,q1,0,170,10,5000,False,2,Left
20191116_1452_25-1_L_B__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191116_1452_25-1_L_B,20191116,1452,L,1950,20594,30,-18,-18,9,9,19950,38594,open_field,q2,0,150,10,5000,False,2,Top
20191116_1452_25-1_L_B__open_field__q3,no_bg_sub_area_min_10,20191116_1452_25-1_L_B,20191116,1452,L,1950,20594,30,-18,-18,9,9,19950,38594,open_field,q3,0,170,10,5000,False,2,Right
20191116_1452_25-1_L_B__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191116_1452_25-1_L_B,20191116,1452,L,1950,20594,30,-18,-18,9,9,19950,38594,open_field,q4,0,150,10,5000,False,2,Top
20191117_1027_58-2_L_B__novel_object__q1,int_max_150,20191117_1027_58-2_L_B,20191117,1027,L,1484,20594,30,-17,-17,2,2,19484,38594,novel_object,q1,0,150,100,5000,True,2,Top
20191117_1027_58-2_L_B__novel_object__q2,int_max_140,20191117_1027_58-2_L_B,20191117,1027,L,1484,20594,30,-17,-17,2,2,19484,38594,novel_object,q2,0,140,100,5000,True,2,Top
20191117_1027_58-2_L_B__novel_object__q3,no_bg_sub,20191117_1027_58-2_L_B,20191117,1027,L,1484,20594,30,-17,-17,2,2,19484,38594,novel_object,q3,0,170,150,2000,False,2,Left
20191117_1027_58-2_L_B__novel_object__q4,int_max_140,20191117_1027_58-2_L_B,20191117,1027,L,1484,20594,30,-17,-17,2,2,19484,38594,novel_object,q4,0,140,100,5000,True,2,Top
20191117_1027_58-2_L_B__open_field__q1,no_bg_sub_area_min_10,20191117_1027_58-2_L_B,20191117,1027,L,1484,20594,30,-17,-17,2,2,19484,38594,open_field,q1,0,170,10,5000,False,2,Top
20191117_1027_58-2_L_B__open_field__q2,default,20191117_1027_58-2_L_B,20191117,1027,L,1484,20594,30,-17,-17,2,2,19484,38594,open_field,q2,0,200,100,5000,True,2,Left
20191117_1027_58-2_L_B__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191117_1027_58-2_L_B,20191117,1027,L,1484,20594,30,-17,-17,2,2,19484,38594,open_field,q3,0,150,10,5000,False,2,Left
20191117_1027_58-2_L_B__open_field__q4,default,20191117_1027_58-2_L_B,20191117,1027,L,1484,20594,30,-17,-17,2,2,19484,38594,open_field,q4,0,200,100,5000,True,2,Left
20191117_1034_iCab_R_B__novel_object__q1,int_max_160_area_min_25,20191117_1034_iCab_R_B,20191117,1034,R,1720,20554,30,1,1,-5,-5,19720,38554,novel_object,q1,0,160,25,5000,True,2,NA
20191117_1034_iCab_R_B__novel_object__q2,int_max_160_area_min_25,20191117_1034_iCab_R_B,20191117,1034,R,1720,20554,30,1,1,-5,-5,19720,38554,novel_object,q2,0,160,25,5000,True,2,NA
20191117_1034_iCab_R_B__novel_object__q3,int_max_140,20191117_1034_iCab_R_B,20191117,1034,R,1720,20554,30,1,1,-5,-5,19720,38554,novel_object,q3,0,140,100,5000,True,2,NA
20191117_1034_iCab_R_B__novel_object__q4,int_max_140,20191117_1034_iCab_R_B,20191117,1034,R,1720,20554,30,1,1,-5,-5,19720,38554,novel_object,q4,0,140,100,5000,True,2,NA
20191117_1034_iCab_R_B__open_field__q1,no_bg_sub_area_min_10,20191117_1034_iCab_R_B,20191117,1034,R,1720,20554,30,1,1,-5,-5,19720,38554,open_field,q1,0,170,10,5000,False,2,NA
20191117_1034_iCab_R_B__open_field__q2,no_bg_sub_area_min_10,20191117_1034_iCab_R_B,20191117,1034,R,1720,20554,30,1,1,-5,-5,19720,38554,open_field,q2,0,170,10,5000,False,2,NA
20191117_1034_iCab_R_B__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191117_1034_iCab_R_B,20191117,1034,R,1720,20554,30,1,1,-5,-5,19720,38554,open_field,q3,0,150,10,5000,False,2,NA
20191117_1034_iCab_R_B__open_field__q4,no_bg_sub,20191117_1034_iCab_R_B,20191117,1034,R,1720,20554,30,1,1,-5,-5,19720,38554,open_field,q4,0,170,100,5000,False,2,NA
20191117_1054_138-1_L_B__novel_object__q1,no_bg_sub_int_max_160,20191117_1054_138-1_L_B,20191117,1054,L,1611,20382,30,-17,-17,7,7,19611,38382,novel_object,q1,0,160,150,2000,False,2,Left
20191117_1054_138-1_L_B__novel_object__q2,no_bg_sub,20191117_1054_138-1_L_B,20191117,1054,L,1611,20382,30,-17,-17,7,7,19611,38382,novel_object,q2,0,170,150,2000,False,2,Top
20191117_1054_138-1_L_B__novel_object__q3,int_max_140,20191117_1054_138-1_L_B,20191117,1054,L,1611,20382,30,-17,-17,7,7,19611,38382,novel_object,q3,0,140,100,5000,True,2,Bottom
20191117_1054_138-1_L_B__novel_object__q4,no_bg_sub,20191117_1054_138-1_L_B,20191117,1054,L,1611,20382,30,-17,-17,7,7,19611,38382,novel_object,q4,0,170,150,2000,False,2,Top
20191117_1054_138-1_L_B__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191117_1054_138-1_L_B,20191117,1054,L,1611,20382,30,-17,-17,7,7,19611,38382,open_field,q1,0,150,10,5000,False,2,Bottom
20191117_1054_138-1_L_B__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191117_1054_138-1_L_B,20191117,1054,L,1611,20382,30,-17,-17,7,7,19611,38382,open_field,q2,0,150,10,5000,False,2,Right
20191117_1054_138-1_L_B__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191117_1054_138-1_L_B,20191117,1054,L,1611,20382,30,-17,-17,7,7,19611,38382,open_field,q3,0,150,10,5000,False,2,Bottom
20191117_1054_138-1_L_B__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191117_1054_138-1_L_B,20191117,1054,L,1611,20382,30,-17,-17,7,7,19611,38382,open_field,q4,0,150,10,5000,False,2,Top
20191117_1111_84-2_R_B__novel_object__q1,int_max_160_area_min_25,20191117_1111_84-2_R_B,20191117,1111,R,1385,19925,30,0,0,-3,-3,19385,37925,novel_object,q1,0,160,25,5000,True,2,Top
20191117_1111_84-2_R_B__novel_object__q2,int_max_160_area_min_25,20191117_1111_84-2_R_B,20191117,1111,R,1385,19925,30,0,0,-3,-3,19385,37925,novel_object,q2,0,160,25,5000,True,2,Left
20191117_1111_84-2_R_B__novel_object__q3,int_max_140,20191117_1111_84-2_R_B,20191117,1111,R,1385,19925,30,0,0,-3,-3,19385,37925,novel_object,q3,0,140,100,5000,True,2,Right
20191117_1111_84-2_R_B__novel_object__q4,int_max_160_area_min_25,20191117_1111_84-2_R_B,20191117,1111,R,1385,19925,30,0,0,-3,-3,19385,37925,novel_object,q4,0,160,25,5000,True,2,Bottom
20191117_1111_84-2_R_B__open_field__q1,no_bg_sub_area_min_10,20191117_1111_84-2_R_B,20191117,1111,R,1385,19925,30,0,0,-3,-3,19385,37925,open_field,q1,0,170,10,5000,False,2,Top
20191117_1111_84-2_R_B__open_field__q2,no_bg_sub_area_min_10,20191117_1111_84-2_R_B,20191117,1111,R,1385,19925,30,0,0,-3,-3,19385,37925,open_field,q2,0,170,10,5000,False,2,Bottom
20191117_1111_84-2_R_B__open_field__q3,no_bg_sub_area_min_10,20191117_1111_84-2_R_B,20191117,1111,R,1385,19925,30,0,0,-3,-3,19385,37925,open_field,q3,0,170,10,5000,False,2,Right
20191117_1111_84-2_R_B__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191117_1111_84-2_R_B,20191117,1111,R,1385,19925,30,0,0,-3,-3,19385,37925,open_field,q4,0,150,10,5000,False,2,Left
20191117_1122_22-1_L_B__novel_object__q1,no_bg_sub,20191117_1122_22-1_L_B,20191117,1122,L,1653,20255,30,-20,-20,3,3,19653,38255,novel_object,q1,0,170,150,2000,False,2,Top
20191117_1122_22-1_L_B__novel_object__q2,int_max_150,20191117_1122_22-1_L_B,20191117,1122,L,1653,20255,30,-20,-20,3,3,19653,38255,novel_object,q2,0,150,100,5000,True,2,Top
20191117_1122_22-1_L_B__novel_object__q3,no_bg_sub_int_max_160,20191117_1122_22-1_L_B,20191117,1122,L,1653,20255,30,-20,-20,3,3,19653,38255,novel_object,q3,0,160,150,2000,False,2,Top
20191117_1122_22-1_L_B__novel_object__q4,no_bg_sub_int_max_180_area_min_100,20191117_1122_22-1_L_B,20191117,1122,L,1653,20255,30,-20,-20,3,3,19653,38255,novel_object,q4,0,180,100,2000,False,2,Left
20191117_1122_22-1_L_B__open_field__q1,no_bg_sub_area_min_10,20191117_1122_22-1_L_B,20191117,1122,L,1653,20255,30,-20,-20,3,3,19653,38255,open_field,q1,0,170,10,5000,False,2,Bottom
20191117_1122_22-1_L_B__open_field__q2,no_bg_sub_area_min_10,20191117_1122_22-1_L_B,20191117,1122,L,1653,20255,30,-20,-20,3,3,19653,38255,open_field,q2,0,170,10,5000,False,2,Top
20191117_1122_22-1_L_B__open_field__q3,no_bg_sub_area_min_10,20191117_1122_22-1_L_B,20191117,1122,L,1653,20255,30,-20,-20,3,3,19653,38255,open_field,q3,0,170,10,5000,False,2,Left
20191117_1122_22-1_L_B__open_field__q4,no_bg_sub_area_min_10,20191117_1122_22-1_L_B,20191117,1122,L,1653,20255,30,-20,-20,3,3,19653,38255,open_field,q4,0,170,10,5000,False,2,Right
20191117_1138_79-2_R_B__novel_object__q1,int_max_150,20191117_1138_79-2_R_B,20191117,1138,R,1720,20638,30,-2,-2,-5,-5,19720,38638,novel_object,q1,0,150,100,5000,True,2,Right
20191117_1138_79-2_R_B__novel_object__q2,int_max_140,20191117_1138_79-2_R_B,20191117,1138,R,1720,20638,30,-2,-2,-5,-5,19720,38638,novel_object,q2,0,140,100,5000,True,2,Left
20191117_1138_79-2_R_B__novel_object__q3,int_max_140,20191117_1138_79-2_R_B,20191117,1138,R,1720,20638,30,-2,-2,-5,-5,19720,38638,novel_object,q3,0,140,100,5000,True,2,Left
20191117_1138_79-2_R_B__novel_object__q4,no_bg_sub,20191117_1138_79-2_R_B,20191117,1138,R,1720,20638,30,-2,-2,-5,-5,19720,38638,novel_object,q4,0,170,150,2000,False,2,Bottom
20191117_1138_79-2_R_B__open_field__q1,no_bg_sub_area_min_10_int_max_150,20191117_1138_79-2_R_B,20191117,1138,R,1720,20638,30,-2,-2,-5,-5,19720,38638,open_field,q1,0,150,10,5000,False,2,Bottom
20191117_1138_79-2_R_B__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191117_1138_79-2_R_B,20191117,1138,R,1720,20638,30,-2,-2,-5,-5,19720,38638,open_field,q2,0,150,10,5000,False,2,Left
20191117_1138_79-2_R_B__open_field__q3,no_bg_sub_area_min_10,20191117_1138_79-2_R_B,20191117,1138,R,1720,20638,30,-2,-2,-5,-5,19720,38638,open_field,q3,0,170,10,5000,False,2,Left
20191117_1138_79-2_R_B__open_field__q4,no_bg_sub_area_min_10,20191117_1138_79-2_R_B,20191117,1138,R,1720,20638,30,-2,-2,-5,-5,19720,38638,open_field,q4,0,170,10,5000,False,2,Right
20191117_1150_53-2_L_B__novel_object__q1,area_min_150,20191117_1150_53-2_L_B,20191117,1150,L,1568,20636,30,-20,-20,5,5,19568,38636,novel_object,q1,0,200,150,5000,True,2,Right
20191117_1150_53-2_L_B__novel_object__q2,no_bg_sub,20191117_1150_53-2_L_B,20191117,1150,L,1568,20636,30,-20,-20,5,5,19568,38636,novel_object,q2,0,170,150,2000,False,2,Top
20191117_1150_53-2_L_B__novel_object__q3,no_bg_sub_int_max_160,20191117_1150_53-2_L_B,20191117,1150,L,1568,20636,30,-20,-20,5,5,19568,38636,novel_object,q3,0,160,150,2000,False,2,Bottom
20191117_1150_53-2_L_B__novel_object__q4,int_max_150,20191117_1150_53-2_L_B,20191117,1150,L,1568,20636,30,-20,-20,5,5,19568,38636,novel_object,q4,0,150,100,5000,True,2,Right
20191117_1150_53-2_L_B__open_field__q1,no_bg_sub_area_min_10,20191117_1150_53-2_L_B,20191117,1150,L,1568,20636,30,-20,-20,5,5,19568,38636,open_field,q1,0,170,10,5000,False,2,Right
20191117_1150_53-2_L_B__open_field__q2,no_bg_sub_area_min_10,20191117_1150_53-2_L_B,20191117,1150,L,1568,20636,30,-20,-20,5,5,19568,38636,open_field,q2,0,170,10,5000,False,2,Right
20191117_1150_53-2_L_B__open_field__q3,no_bg_sub_area_min_10,20191117_1150_53-2_L_B,20191117,1150,L,1568,20636,30,-20,-20,5,5,19568,38636,open_field,q3,0,170,10,5000,False,2,Left
20191117_1150_53-2_L_B__open_field__q4,no_bg_sub_area_min_10,20191117_1150_53-2_L_B,20191117,1150,L,1568,20636,30,-20,-20,5,5,19568,38636,open_field,q4,0,170,10,5000,False,2,Left
20191117_1207_106-1_R_B__novel_object__q1,int_max_140,20191117_1207_106-1_R_B,20191117,1207,R,1636,20344,30,1,1,-2,-2,19636,38344,novel_object,q1,0,140,100,5000,True,2,Top
20191117_1207_106-1_R_B__novel_object__q2,int_max_150,20191117_1207_106-1_R_B,20191117,1207,R,1636,20344,30,1,1,-2,-2,19636,38344,novel_object,q2,0,150,100,5000,True,2,Top
20191117_1207_106-1_R_B__novel_object__q3,int_max_140,20191117_1207_106-1_R_B,20191117,1207,R,1636,20344,30,1,1,-2,-2,19636,38344,novel_object,q3,0,140,100,5000,True,2,Top
20191117_1207_106-1_R_B__novel_object__q4,int_max_140,20191117_1207_106-1_R_B,20191117,1207,R,1636,20344,30,1,1,-2,-2,19636,38344,novel_object,q4,0,140,100,5000,True,2,Left
20191117_1207_106-1_R_B__open_field__q1,no_bg_sub_area_min_10,20191117_1207_106-1_R_B,20191117,1207,R,1636,20344,30,1,1,-2,-2,19636,38344,open_field,q1,0,170,10,5000,False,2,Right
20191117_1207_106-1_R_B__open_field__q2,no_bg_sub_area_min_10_int_max_150,20191117_1207_106-1_R_B,20191117,1207,R,1636,20344,30,1,1,-2,-2,19636,38344,open_field,q2,0,150,10,5000,False,2,Bottom
20191117_1207_106-1_R_B__open_field__q3,no_bg_sub_area_min_10_int_max_150,20191117_1207_106-1_R_B,20191117,1207,R,1636,20344,30,1,1,-2,-2,19636,38344,open_field,q3,0,150,10,5000,False,2,Top
20191117_1207_106-1_R_B__open_field__q4,no_bg_sub_area_min_10_int_max_150,20191117_1207_106-1_R_B,20191117,1207,R,1636,20344,30,1,1,-2,-2,19636,38344,open_field,q4,0,150,10,5000,False,2,Right
