sample,assay,quadrant,total_seconds,success_count,frame_count,prop_success
20191120_1401_outbred-A-4_L_C,open_field,q1,600,17348,18000,0.9637777777777777
20191121_1421_outbred-4_R_C,open_field,q2,600,17363,18000,0.9646111111111111
20191119_1004_62-2_L_B,novel_object,q3,600,17364,18000,0.9646666666666667
20191114_1305_50-2_R_A,novel_object,q2,600,17366,18000,0.9647777777777777
20191118_1145_72-1_L_B,novel_object,q3,600,17369,18000,0.9649444444444445
20191117_1452_117-1_R_B,novel_object,q3,600,17371,18000,0.9650555555555556
20191112_1236_18-2_L_A,novel_object,q2,600,16828,17400,0.9671264367816091
20191121_1130_luzonensis_L_C,open_field,q2,600,17411,18000,0.9672777777777778
20191111_1655_11-2_L_A,novel_object,q2,600,16831,17400,0.9672988505747127
20191120_1251_outbred-A-1_R_C,open_field,q4,600,17421,18000,0.9678333333333333
20191115_1633_10-1_L_B,novel_object,q2,600,16841,17400,0.9678735632183908
20191121_1352_outbred-A-3_L_C,novel_object,q2,600,17427,18000,0.9681666666666666
20191115_1128_123-2_R_A,open_field,q1,600,17435,18000,0.9686111111111111
20191117_1529_72-2_L_B,novel_object,q3,600,17443,18000,0.9690555555555556
20191121_1352_outbred-A-3_L_C,open_field,q3,600,17456,18000,0.9697777777777777
20191120_1150_50-2_R_C,novel_object,q2,600,17465,18000,0.9702777777777778
20191113_1542_138-1_R_A,open_field,q2,600,8151,8400,0.9703571428571428
20191113_1430_110-2_L_A,novel_object,q3,600,16315,16800,0.9711309523809524
20191113_1233_79-2_L_A,open_field,q4,600,16323,16800,0.9716071428571429
20191115_1642_14-1_R_B,novel_object,q4,600,17489,18000,0.9716111111111111
20191120_1006_iCab_L_C,open_field,q1,600,17489,18000,0.9716111111111111
20191115_1144_132-4-1_L_A,novel_object,q4,600,17490,18000,0.9716666666666667
20191121_1421_outbred-4_R_C,novel_object,q3,600,17491,18000,0.9717222222222223
20191118_1035_40-2_R_B,open_field,q3,600,17506,18000,0.9725555555555555
20191120_1458_outbred-2_L_C,novel_object,q2,600,17511,18000,0.9728333333333333
20191121_1130_luzonensis_L_C,novel_object,q2,600,17513,18000,0.9729444444444444
20191117_1523_69-2_R_B,novel_object,q3,599.1333333333333,17488,17974,0.9729609435851786
20191114_1023_7-2_R_A,novel_object,q2,600,17519,18000,0.9732777777777778
20191117_1245_70-2_L_B,novel_object,q4,600,17519,18000,0.9732777777777778
20191112_1236_18-2_L_A,open_field,q2,600,16940,17400,0.9735632183908046
20191115_1606_11-2_L_B,open_field,q1,600,16940,17400,0.9735632183908046
20191120_1446_outbred-1_R_C,open_field,q4,600,17527,18000,0.9737222222222223
20191113_1527_21-2_L_A,novel_object,q2,600,16359,16800,0.97375
20191117_1433_68-1_L_B,novel_object,q3,600,17529,18000,0.9738333333333333
20191119_1155_69-1_L_B,open_field,q3,600,17529,18000,0.9738333333333333
20191115_1159_iCab_R_A,open_field,q1,600,17532,18000,0.974
20191121_1239_outbred-1_R_C,novel_object,q2,600,17532,18000,0.974
20191120_1158_135-1_L_C,open_field,q1,600,17536,18000,0.9742222222222222
20191117_1523_69-2_R_B,novel_object,q2,599.1333333333333,17512,17974,0.9742962056303549
20191120_1026_84-2_R_C,open_field,q4,600,17544,18000,0.9746666666666667
20191114_1321_iCab_L_A,novel_object,q4,600,16966,17400,0.9750574712643678
20191120_1349_outbred-A-3_R_C,novel_object,q2,600,17554,18000,0.9752222222222222
20191120_1332_outbred-A-2_L_C,open_field,q2,600,17562,18000,0.9756666666666667
20191121_1421_outbred-4_R_C,novel_object,q1,600,17564,18000,0.9757777777777777
20191121_1239_outbred-1_R_C,novel_object,q1,600,17568,18000,0.976
20191121_1257_iCab_L_C,novel_object,q3,600,17570,18000,0.9761111111111112
20191121_1325_outbred-3_L_C,novel_object,q1,600,17572,18000,0.9762222222222222
20191112_1554_43-2_L_A,open_field,q2,600,17575,18000,0.9763888888888889
20191112_1358_23-1_L_A,open_field,q4,600,17579,18000,0.9766111111111111
20191120_1428_outbred-system_L_C,open_field,q2,600,17580,18000,0.9766666666666667
20191112_1722_135-2_L_A,novel_object,q2,600,17582,18000,0.9767777777777777
20191114_1305_50-2_R_A,open_field,q2,600,17584,18000,0.9768888888888889
20191121_1239_outbred-1_R_C,open_field,q1,600,17585,18000,0.9769444444444444
20191116_1424_137-4_L_B,open_field,q3,600,17586,18000,0.977
20191117_1501_iCab_L_B,novel_object,q4,600,17595,18000,0.9775
20191119_1432_13-2_L_C,open_field,q2,600,17010,17400,0.9775862068965517
20191120_1251_outbred-A-1_R_C,novel_object,q4,600,17599,18000,0.9777222222222223
20191118_1345_iCab_R_B,open_field,q4,600,17602,18000,0.9778888888888889
20191117_1529_72-2_L_B,novel_object,q1,600,17604,18000,0.978
20191117_1523_69-2_R_B,novel_object,q1,599.1333333333333,17580,17974,0.978079448091688
20191115_1606_11-2_L_B,novel_object,q2,600,17020,17400,0.9781609195402299
20191120_1233_94-1_L_C,novel_object,q2,600,17607,18000,0.9781666666666666
20191118_1049_71-1_L_B,open_field,q1,600,17608,18000,0.9782222222222222
20191114_1233_47-1_R_A,novel_object,q2,600,17609,18000,0.9782777777777778
20191119_1533_25-1_L_C,novel_object,q3,600,17609,18000,0.9782777777777778
20191117_1245_70-2_L_B,novel_object,q3,600,17613,18000,0.9785
20191120_1446_outbred-1_R_C,novel_object,q3,600,17618,18000,0.9787777777777777
20191115_1642_14-1_R_B,novel_object,q3,600,17621,18000,0.9789444444444444
20191120_1233_94-1_L_C,open_field,q3,600,17623,18000,0.9790555555555556
20191119_1155_69-1_L_B,novel_object,q4,600,17629,18000,0.9793888888888889
20191117_1111_84-2_R_B,open_field,q2,600,17631,18000,0.9795
20191117_1356_140-3_R_B,novel_object,q2,600,17631,18000,0.9795
20191117_1245_70-2_L_B,novel_object,q2,600,17632,18000,0.9795555555555555
20191120_1158_135-1_L_C,novel_object,q3,600,17632,18000,0.9795555555555555
20191117_1425_30-1_R_B,novel_object,q3,600,17633,18000,0.9796111111111111
20191121_1325_outbred-3_L_C,open_field,q3,600,17633,18000,0.9796111111111111
20191120_1416_iCab_R_C,novel_object,q3,600,17634,18000,0.9796666666666667
20191115_1235_117-2_R_A,novel_object,q3,600,17637,18000,0.9798333333333333
20191117_1245_70-2_L_B,open_field,q3,600,17640,18000,0.98
20191121_1421_outbred-4_R_C,open_field,q4,600,17641,18000,0.9800555555555556
20191121_1147_luzonensis_R_C,novel_object,q4,600,17643,18000,0.9801666666666666
20191111_1724_iCab_L_A,open_field,q1,600,17062,17400,0.9805747126436781
20191115_1642_14-1_R_B,open_field,q1,600,17651,18000,0.9806111111111111
20191121_1454_iCab_L_C,open_field,q2,600,17651,18000,0.9806111111111111
20191121_1130_luzonensis_L_C,open_field,q1,600,17653,18000,0.9807222222222223
20191114_1321_iCab_L_A,open_field,q2,600,17067,17400,0.9808620689655172
20191120_1158_135-1_L_C,open_field,q3,600,17656,18000,0.9808888888888889
20191119_1155_69-1_L_B,novel_object,q3,600,17658,18000,0.981
20191121_1239_outbred-1_R_C,open_field,q4,600,17662,18000,0.9812222222222222
20191121_1325_outbred-3_L_C,novel_object,q3,600,17662,18000,0.9812222222222222
20191119_1506_29-1_L_C,novel_object,q2,600,17663,18000,0.9812777777777778
20191121_1200_outbred-2_L_C,open_field,q1,600,17666,18000,0.9814444444444445
20191115_1538_4-2_L_B,novel_object,q4,600,16489,16800,0.9814880952380952
20191115_1414_iCab_L_A,novel_object,q1,600,17078,17400,0.9814942528735632
20191118_1158_20-1_R_B,novel_object,q1,600,17671,18000,0.9817222222222223
20191115_1548_5-1_R_B,open_field,q1,600,17674,18000,0.9818888888888889
20191117_1406_106-2_L_B,open_field,q1,600,17675,18000,0.9819444444444444
20191119_1033_49-1_L_B,open_field,q2,600,17678,18000,0.9821111111111112
20191114_1217_40-1_L_A,novel_object,q4,600,17682,18000,0.9823333333333333
20191115_1235_117-2_R_A,novel_object,q2,600,17682,18000,0.9823333333333333
20191114_1455_69-1_L_A,open_field,q1,600,17095,17400,0.9824712643678161
20191120_1349_outbred-A-3_R_C,open_field,q4,600,17688,18000,0.9826666666666667
20191121_1325_outbred-3_L_C,open_field,q4,600,17688,18000,0.9826666666666667
20191118_1129_40-1_R_B,open_field,q1,600,17694,18000,0.983
20191119_1016_132-4-1_R_B,open_field,q1,600,17696,18000,0.9831111111111112
20191117_1138_79-2_R_B,novel_object,q2,600,17697,18000,0.9831666666666666
20191115_1633_10-1_L_B,novel_object,q1,600,17110,17400,0.9833333333333333
20191120_1158_135-1_L_C,novel_object,q1,600,17702,18000,0.9834444444444445
20191120_1525_outbred-3_L_C,open_field,q1,600,17702,18000,0.9834444444444445
20191115_1414_iCab_L_A,open_field,q2,600,17115,17400,0.9836206896551725
20191114_1145_39-1_L_A,open_field,q2,600,17713,18000,0.9840555555555556
20191118_1311_80-2_L_B,open_field,q1,600,17716,18000,0.9842222222222222
20191120_1233_94-1_L_C,novel_object,q3,600,17717,18000,0.9842777777777778
20191120_1416_iCab_R_C,open_field,q3,600,17717,18000,0.9842777777777778
20191120_1416_iCab_R_C,novel_object,q4,600,17719,18000,0.9843888888888889
20191121_1239_outbred-1_R_C,open_field,q2,600,17723,18000,0.9846111111111111
20191119_1432_13-2_L_C,novel_object,q4,600,17136,17400,0.9848275862068966
20191121_1338_outbred-A-1_R_C,novel_object,q1,600,17729,18000,0.9849444444444444
20191120_1349_outbred-A-3_R_C,open_field,q2,600,17737,18000,0.9853888888888889
20191120_1513_iCab_R_C,open_field,q1,600,17739,18000,0.9855
20191121_1421_outbred-4_R_C,open_field,q3,600,17740,18000,0.9855555555555555
20191120_1026_84-2_R_C,open_field,q2,600,17741,18000,0.9856111111111111
20191116_1211_17-1_R_B,novel_object,q1,600,17742,18000,0.9856666666666667
20191118_1129_40-1_R_B,open_field,q2,600,17742,18000,0.9856666666666667
20191121_1325_outbred-3_L_C,open_field,q1,600,17746,18000,0.9858888888888889
20191117_1245_70-2_L_B,open_field,q1,600,17748,18000,0.986
20191119_1427_30-1_R_C,novel_object,q2,600,17748,18000,0.986
20191115_1036_80-2_L_A,open_field,q4,600,17157,17400,0.9860344827586207
20191114_1023_7-2_R_A,novel_object,q4,600,17749,18000,0.9860555555555556
20191120_1349_outbred-A-3_R_C,novel_object,q3,600,17749,18000,0.9860555555555556
20191116_1355_33-1_L_B,open_field,q2,600,17750,18000,0.9861111111111112
20191119_1004_62-2_L_B,open_field,q1,600,17750,18000,0.9861111111111112
20191120_1150_50-2_R_C,novel_object,q1,600,17751,18000,0.9861666666666666
20191121_1338_outbred-A-1_R_C,novel_object,q3,600,17752,18000,0.9862222222222222
20191120_1251_outbred-A-1_R_C,open_field,q2,600,17754,18000,0.9863333333333333
20191121_1200_outbred-2_L_C,novel_object,q1,600,17755,18000,0.9863888888888889
20191116_1325_75-1_L_B,novel_object,q2,600,17756,18000,0.9864444444444445
20191115_1054_75-1_R_A,open_field,q3,600,17757,18000,0.9865
20191117_1236_110-2_R_B,novel_object,q2,600,17757,18000,0.9865
20191120_1217_106-2_R_C,novel_object,q2,600,17758,18000,0.9865555555555555
20191119_1552_22-1_R_C,novel_object,q3,600,17760,18000,0.9866666666666667
20191119_1207_104-1_R_B,open_field,q2,600,17761,18000,0.9867222222222222
20191116_1106_iCab_L_B,open_field,q1,600,17762,18000,0.9867777777777778
20191118_1021_7-2_L_B,novel_object,q1,600,17762,18000,0.9867777777777778
20191113_0941_69-2_L_A,open_field,q3,600,17764,18000,0.9868888888888889
20191119_1016_132-4-1_R_B,novel_object,q4,600,17766,18000,0.987
20191119_1248_iCab_L_B,open_field,q2,600,17767,18000,0.9870555555555556
20191116_1106_iCab_L_B,open_field,q4,600,17768,18000,0.9871111111111112
20191112_1653_25-1_L_A,open_field,q2,600,17770,18000,0.9872222222222222
20191121_1421_outbred-4_R_C,novel_object,q4,600,17770,18000,0.9872222222222222
20191114_1201_55-2_R_A,open_field,q2,600,17772,18000,0.9873333333333333
20191121_1338_outbred-A-1_R_C,open_field,q2,600,17773,18000,0.9873888888888889
20191116_1231_iCab_L_B,open_field,q1,600,17774,18000,0.9874444444444445
20191119_1100_139-4_L_B,novel_object,q1,600,17775,18000,0.9875
20191117_1329_15-1_R_B,novel_object,q2,600,17778,18000,0.9876666666666667
20191121_1130_luzonensis_L_C,novel_object,q1,600,17778,18000,0.9876666666666667
20191116_1355_33-1_L_B,open_field,q3,600,17779,18000,0.9877222222222222
20191117_1329_15-1_R_B,novel_object,q1,600,17780,18000,0.9877777777777778
20191114_1305_50-2_R_A,open_field,q4,600,17784,18000,0.988
20191117_1054_138-1_L_B,novel_object,q2,600,17785,18000,0.9880555555555556
20191121_1421_outbred-4_R_C,novel_object,q2,600,17785,18000,0.9880555555555556
20191116_1355_33-1_L_B,novel_object,q1,600,17787,18000,0.9881666666666666
20191118_1129_40-1_R_B,novel_object,q2,600,17790,18000,0.9883333333333333
20191116_1203_38-2_L_B,open_field,q3,600,17793,18000,0.9885
20191115_1633_10-1_L_B,open_field,q1,600,17201,17400,0.9885632183908046
20191113_1527_21-2_L_A,open_field,q1,600,16611,16800,0.98875
20191119_1248_iCab_L_B,novel_object,q2,600,17800,18000,0.9888888888888889
20191118_1021_7-2_L_B,open_field,q3,600,17801,18000,0.9889444444444444
20191112_1653_25-1_L_A,open_field,q3,600,17802,18000,0.989
20191115_1615_11-1_R_B,open_field,q2,600,17805,18000,0.9891666666666666
20191121_1106_iCab_R_C,novel_object,q2,600,17805,18000,0.9891666666666666
20191116_1144_23-1_R_B,novel_object,q3,600,17806,18000,0.9892222222222222
20191119_1506_29-1_L_C,open_field,q2,600,17809,18000,0.9893888888888889
20191114_0952_4-1_R_A,novel_object,q2,600,17810,18000,0.9894444444444445
20191112_1653_25-1_L_A,novel_object,q2,600,17811,18000,0.9895
20191115_1159_iCab_R_A,novel_object,q3,600,17811,18000,0.9895
20191120_1428_outbred-system_L_C,novel_object,q2,600,17815,18000,0.9897222222222222
20191121_1454_iCab_L_C,novel_object,q4,600,17816,18000,0.9897777777777778
20191117_1501_iCab_L_B,open_field,q4,600,17817,18000,0.9898333333333333
20191120_1401_outbred-A-4_L_C,open_field,q3,600,17817,18000,0.9898333333333333
20191118_1345_iCab_R_B,open_field,q3,600,17818,18000,0.9898888888888889
20191116_1309_21-2_R_B,open_field,q2,600,17820,18000,0.99
20191115_1615_11-1_R_B,novel_object,q3,600,17823,18000,0.9901666666666666
20191117_1034_iCab_R_B,open_field,q2,600,17823,18000,0.9901666666666666
20191112_1358_23-1_L_A,novel_object,q1,600,17826,18000,0.9903333333333333
20191116_1144_23-1_R_B,open_field,q4,600,17827,18000,0.9903888888888889
20191120_1446_outbred-1_R_C,open_field,q2,600,17827,18000,0.9903888888888889
20191112_1525_33-1_L_A,novel_object,q2,600,17828,18000,0.9904444444444445
20191121_1448_iCab_R_C,novel_object,q1,600,17829,18000,0.9905
20191112_1236_18-2_L_A,novel_object,q4,600,17236,17400,0.9905747126436781
20191113_1401_58-2_L_A,open_field,q3,600,16643,16800,0.9906547619047619
20191121_1352_outbred-A-3_L_C,novel_object,q3,600,17832,18000,0.9906666666666667
20191115_1054_75-1_R_A,novel_object,q2,600,17833,18000,0.9907222222222222
20191120_1446_outbred-1_R_C,open_field,q3,600,17833,18000,0.9907222222222222
